Provinsi,Jumlah Penduduk Laki-Laki,Jumlah Penduduk Perempuan,Luas,Persentase Terhadap Luas Indonesia,Jumlah Pulau,RS Rujukan,latitude,longitude
Aceh,2652616,2636269,57956,3.03,663,2,4.41533,96.9956
Sumatera Utara,7551087,7481083,72981.23,3.81,419,5,2.36304,99.2161
Sumatera Barat,7551087,7481083,42012.89,2.2,391,2,-0.642611,100.611
Riau,2801468,303342,87023.66,4.55,139,3,0.396892,101.745
Jambi,1785699,1712134,50058.16,2.62,19,1,-1.65497,102.823
Sumatera Selatan,4260234,4081867,91592.43,4.79,53,5,-3.3824,104.073
Bengkulu,1032290,982079,19919.33,1.04,47,3,-3.48606,102.368
Lampung,4656338,4406428,34623.8,1.81,188,4,-4.919,105.059
Kepulauan Bangka Belitung,720736,685847,16424.06,0.86,950,2,-2.95817,106.819
Kepulauan Riau,1010515,973082,8201.72,0.43,2408,4,-0.142639,104.601
DKI Jakarta,5587610,5513319,664.01,0.03,218,8,-6.22462,106.837
Jawa Barat,23375292,22716913,35377.76,1.85,131,8,-6.90763,107.638
Jawa Tengah,18570981,18325771,32800.69,1.71,296,13,-7.2901,109.896
DI Yogyakarta,1814360,1853944,3133.15,0.16,23,4,-7.83533,110.443
Jawa Timur,20465848,20497379,47799.75,2.5,287,11,-7.88129,112.616
Banten,5615954,5426569,9662.92,0.5,131,2,-6.25794,106.167
Bali,2139483,2122426,5780.06,0.3,85,4,-8.3412,115.179
Nusa Tenggara Barat,2658460,2663092,18572.32,0.97,864,4,-8.57106,116.294
Nusa Tenggara Timur,2736628,2716339,48718.1,2.55,1192,3,-8.58443,120.689
Kalimantan Barat,2809944,2647400,147307,7.7,339,4,-0.0636474,111.304
Kalimantan Tengah,1346779,1255340,153564.5,8.02,32,3,-1.84217,113.286
Kalimantan Selatan,20590947,2010373,38744.23,2.02,320,2,-3.00713,115.451
Kalimantan Timur,1902410,1758751,129066.64,6.74,370,5,1.28915,116.354
Kalimantan Utara,347668,316028,75467.7,3.94,0,2,3.073093,116.041389
Sulawesi Utara,1362101,1297886,13851.64,0.72,668,4,0.853039,124.446
Sulawesi Tengah,1535913,1451798,61841.29,3.23,750,5,-1.30097,120.153
Sulawesi Selatan,4558654,4617317,46717.48,2.44,295,7,-3.7444,119.99
Sulawesi Tenggara,1343851,1305994,38067.7,1.99,651,1,-4.0746,122.119
Gorontalo,599918,589767,11257.07,0.59,136,1,0.760501,122.331
Sulawesi Barat,795622,767667,16787.18,0.88,0,1,-2.69615,119.316
Maluku,943227,921108,46914.03,2.45,1422,3,-8.24814,128.161
Maluku Utara,674924,643254,31982.5,1.67,1474,1,-2.28945,125.976
Papua Barat,599047,547619,99671.63,5.21,1945,2,-1.32525,132.825
Papua,2318966,2035502,319036.05,16.67,598,3,-4.10825,138.689
