screen_name,lang,created_at,fav_count,retweet_count,text,location
Joko_Why,in,10/2/2020 9:37,0,0,"@Rikiandre8 @bolangwebberII @ustadtengkuzul Udah baca ini belom blog? 
https://t.co/KxOCLH88Pj","Rajadell, España"
megaa_amelia,in,10/2/2020 4:08,0,0,"Pria yang baru saja tampil di tayangan TV swasta, Rabu kemarin kalau bersama pasangan Teguh Prakosa bakal bertarung… https://t.co/SmMDj5ZO4w",
Yesaya9_5,in,9/30/2020 14:36,0,0,"@MataNajwa @TRANS7 #MataNajwa 
#MataNajwaBerebutTakhtadiTengahWabah 
TRANS7

Warga Solo pilih Bagyo Wahyono dan FX… https://t.co/2bGXUlK3ym",
WiKu58414131,in,9/29/2020 14:55,0,1,"RT @kumparan: Selain menggunakan metode kampanye online, kampanye secara door to door lebih cenderung fokus dilakukan oleh paslon Bajo guna…",Indonesia
kumparan,in,9/29/2020 14:49,7,1,"Selain menggunakan metode kampanye online, kampanye secara door to door lebih cenderung fokus dilakukan oleh paslon… https://t.co/Pw1vFglCj3",
Yesaya9_5,in,9/29/2020 10:16,0,0,Masyarakat Kota Solo yg anti politik dinasti sepakat dukung dannangkat Bagyo Wahyono dan Supardjo sbg wali kota Sol… https://t.co/sXKdNKmmWB,
kumparan,in,9/27/2020 11:37,6,0,"""Hari pertama kampanye sudah ada 2.000 rumah warga yang didatangi relawan. Hari ini (Minggu) ditargetkan 3.000 ruma… https://t.co/hJGikOFCK5",
kumparan,in,9/26/2020 15:54,8,0,"Berikut adalah bunyi deklarasi dan komitmen kedua pasangan calon, baik Gibran-Teguh dan Bagyo-Supardjo dalam Pilwal… https://t.co/i2Kbqe3Wij",
Genpi_Co,in,9/26/2020 13:22,0,0,Pasangan calon Bagyo Wahyono-FX Supardjo alias BaJo mengaku akan menyulap Solo sebagai Kota Megapolitan… https://t.co/mZB5S1tKDj,Indonesia
okezonenews,in,9/26/2020 9:11,1,0,"Pilkada Solo 2020, Gibran-Teguh dan Bagyo-Supardjo Komitmen Kampanye Taati Protokol Kesehatan #TauCepatTanpaBatas… https://t.co/VKfNypbCrH",Jakarta
